Date;IMOEX;RUB/USD
01.01.2015;;56.2376
02.01.2015;;
03.01.2015;;
04.01.2015;;
05.01.2015;1435.66;
06.01.2015;1480.73;
07.01.2015;;
08.01.2015;1547.39;
09.01.2015;1515.37;
10.01.2015;;
11.01.2015;;
12.01.2015;1513.22;
13.01.2015;1533.09;62.7363
14.01.2015;1554.46;64.8425
15.01.2015;1563.21;66.0983
16.01.2015;1591.43;64.8337
17.01.2015;;65.1738
18.01.2015;;
19.01.2015;1576.4;65.1738
20.01.2015;1570.97;64.9732
21.01.2015;1618.17;64.9862
22.01.2015;1666.56;65.5558
23.01.2015;1671.8;65.4
24.01.2015;;63.393
25.01.2015;;
26.01.2015;1642.37;63.393
27.01.2015;1673.92;65.5937
28.01.2015;1647.71;67.8153
29.01.2015;1639.65;67.1506
30.01.2015;1647.69;68.7303
31.01.2015;;68.9291
01.02.2015;;
02.02.2015;1625.31;68.9291
03.02.2015;1654.36;69.664
04.02.2015;1656.02;67.7727
05.02.2015;1696.06;65.447
06.02.2015;1755.45;68.6113
07.02.2015;;66.0432
08.02.2015;;
09.02.2015;1748.55;66.0432
10.02.2015;1742.35;65.7817
11.02.2015;1763.6;65.4469
12.02.2015;1802.8;66.0585
13.02.2015;1838.18;66.0994
14.02.2015;;65.0862
15.02.2015;;
16.02.2015;1800.59;65.0862
17.02.2015;1793.82;62.6632
18.02.2015;1809.67;62.8353
19.02.2015;1797.87;62.4001
20.02.2015;1792.7;62.1307
21.02.2015;;61.7235
22.02.2015;;
23.02.2015;;61.7235
24.02.2015;1772.16;
25.02.2015;1746.23;63.5083
26.02.2015;1760.66;62.5906
27.02.2015;1758.97;60.7109
28.02.2015;;61.2718
01.03.2015;;
02.03.2015;1783.34;61.2718
03.03.2015;1807.7;62.2248
04.03.2015;1759.35;62.3649
05.03.2015;1760.55;61.8745
06.03.2015;1728.55;61.8457
07.03.2015;;59.9938
08.03.2015;;
09.03.2015;;59.9938
10.03.2015;1665.38;
11.03.2015;1671.47;60.6649
12.03.2015;1664.7;62.6797
13.03.2015;1627.88;60.9595
14.03.2015;;61.3167
15.03.2015;;
16.03.2015;1609.85;61.3167
17.03.2015;1611.69;62.1497
18.03.2015;1632.12;61.751
19.03.2015;1607.97;61.3483
20.03.2015;1628.64;59.8308
21.03.2015;;60.0341
22.03.2015;;
23.03.2015;1602.85;60.0341
24.03.2015;1618.62;59.4452
25.03.2015;1615.5;58.771
26.03.2015;1581.84;57.3879
27.03.2015;1571.55;56.4271
28.03.2015;;57.7279
29.03.2015;;
30.03.2015;1612.84;57.7279
31.03.2015;1626.18;58.4643
01.04.2015;1661.9;57.65
02.04.2015;1679.24;58.3536
03.04.2015;1681.47;56.9902
04.04.2015;;56.7534
05.04.2015;;
06.04.2015;1700.64;56.7534
07.04.2015;1695.64;56.5161
08.04.2015;1683.63;55.3328
09.04.2015;1667.6;54.027
10.04.2015;1657.02;52.5424
11.04.2015;;51.0678
12.04.2015;;
13.04.2015;1678.19;51.0678
14.04.2015;1647.39;52.422
15.04.2015;1677.7;51.9749
16.04.2015;1686.79;50.5033
17.04.2015;1656.59;49.6749
18.04.2015;;50.5295
19.04.2015;;
20.04.2015;1683.24;50.5295
21.04.2015;1710.24;51.5207
22.04.2015;1677.56;53.9728
23.04.2015;1662.64;53.6555
24.04.2015;1682.7;51.6011
25.04.2015;;50.2473
26.04.2015;;
27.04.2015;1677.22;50.2473
28.04.2015;1677.89;51.469
29.04.2015;1670.99;52.3041
30.04.2015;1688.34;51.7029
01.05.2015;;51.1388
02.05.2015;;
03.05.2015;;
04.05.2015;;
05.05.2015;1721.8;
06.05.2015;1714.31;51.7574
07.05.2015;1686.98;49.9816
08.05.2015;1708.52;50.3615
09.05.2015;;50.7511
10.05.2015;;
11.05.2015;;50.7511
12.05.2015;1704.62;
13.05.2015;1682.26;50.914
14.05.2015;1677.57;49.5366
15.05.2015;1691.46;50.0774
16.05.2015;;50.0115
17.05.2015;;
18.05.2015;1678.55;50.0115
19.05.2015;1659.36;49.2175
20.05.2015;1636.86;49.1777
21.05.2015;1659.33;49.7919
22.05.2015;1665.66;49.9204
23.05.2015;;49.7901
24.05.2015;;
25.05.2015;1655.4;49.7901
26.05.2015;1651.66;49.8613
27.05.2015;1660.98;50.3223
28.05.2015;1657.62;51.0178
29.05.2015;1609.19;52.2907
30.05.2015;;52.9716
31.05.2015;;
01.06.2015;1616.94;52.9716
02.06.2015;1643.41;52.8213
03.06.2015;1628.87;53.4413
04.06.2015;1638.07;53.059
05.06.2015;1652.07;54.9908
06.06.2015;;56.2463
07.06.2015;;
08.06.2015;1646.89;56.2463
09.06.2015;1664.01;56.0435
10.06.2015;1653.09;55.91
11.06.2015;1652.24;54.8219
12.06.2015;;54.5285
13.06.2015;;
14.06.2015;;
15.06.2015;1657.29;
16.06.2015;1668.82;55.2679
17.06.2015;1664.66;54.0409
18.06.2015;1660.14;53.8999
19.06.2015;1663.03;53.3301
20.06.2015;;53.8006
21.06.2015;;
22.06.2015;1671.8;53.8006
23.06.2015;1657.23;53.5569
24.06.2015;1651.85;54.2081
25.06.2015;1631.99;54.0746
26.06.2015;1644.45;54.6026
27.06.2015;;54.8126
28.06.2015;;
29.06.2015;1634.93;54.8126
30.06.2015;1654.55;55.524
01.07.2015;1639.7;55.8413
02.07.2015;1641.05;55.4756
03.07.2015;1631.65;55.6555
04.07.2015;;55.6049
05.07.2015;;
06.07.2015;1621.27;55.6049
07.07.2015;1614.14;56.4112
08.07.2015;1595;57.2192
09.07.2015;1614.59;57.2174
10.07.2015;1623.99;56.9803
11.07.2015;;56.6685
12.07.2015;;
13.07.2015;1642.97;56.6685
14.07.2015;1647.01;56.6079
15.07.2015;1641.22;56.9774
16.07.2015;1652.59;56.6642
17.07.2015;1650.08;56.9504
18.07.2015;;56.8423
19.07.2015;;
20.07.2015;1626.76;56.8423
21.07.2015;1635.69;56.8336
22.07.2015;1635.63;57.0025
23.07.2015;1616.14;57.0232
24.07.2015;1595.61;57.3578
25.07.2015;;58.0374
26.07.2015;;
27.07.2015;1584.92;58.0374
28.07.2015;1604.5;58.7816
29.07.2015;1622.32;60.2231
30.07.2015;1636.72;59.7665
31.07.2015;1669;58.9906
01.08.2015;;60.3458
02.08.2015;;
03.08.2015;1663.74;60.3458
04.08.2015;1674.46;62.4677
05.08.2015;1693.07;62.9182
06.08.2015;1675.71;62.7184
07.08.2015;1690.44;63.8644
08.08.2015;;63.8399
09.08.2015;;
10.08.2015;1702.02;63.8399
11.08.2015;1697.87;64.4977
12.08.2015;1697.65;63.2098
13.08.2015;1704.11;65.0169
14.08.2015;1712.47;63.9988
15.08.2015;;64.9363
16.08.2015;;
17.08.2015;1707.95;64.9363
18.08.2015;1691.24;65.5034
19.08.2015;1673.86;65.8289
20.08.2015;1695.57;65.7222
21.08.2015;1663.31;66.9608
22.08.2015;;68.1216
23.08.2015;;
24.08.2015;1634.14;68.1216
25.08.2015;1658.13;70.7465
26.08.2015;1660.95;69.9461
27.08.2015;1695.22;69.3142
28.08.2015;1719.16;67.4473
29.08.2015;;66.4779
30.08.2015;;
31.08.2015;1733.17;66.4779
01.09.2015;1697.99;66.7152
02.09.2015;1690.82;65.3495
03.09.2015;1710.57;66.6756
04.09.2015;1698.16;67.0102
05.09.2015;;67.685
06.09.2015;;
07.09.2015;1701.18;67.685
08.09.2015;1714.18;68.4864
09.09.2015;1722.43;68.7932
10.09.2015;1718.9;67.6219
11.09.2015;1718.06;68.4961
12.09.2015;;68.0093
13.09.2015;;
14.09.2015;1729.75;68.0093
15.09.2015;1716.26;67.9571
16.09.2015;1731.81;67.1574
17.09.2015;1729.2;65.9273
18.09.2015;1710.84;65.3623
19.09.2015;;65.6445
20.09.2015;;
21.09.2015;1699.72;65.6445
22.09.2015;1664.25;66.1455
23.09.2015;1640.7;66.1747
24.09.2015;1621.43;66.041
25.09.2015;1639.64;66.5151
26.09.2015;;65.6727
27.09.2015;;
28.09.2015;1616.36;65.6727
29.09.2015;1630.51;65.547
30.09.2015;1642.97;66.2367
01.10.2015;1626.97;65.7364
02.10.2015;1612.56;65.0336
03.10.2015;;65.9414
04.10.2015;;
05.10.2015;1652.47;65.9414
06.10.2015;1670.69;65.6248
07.10.2015;1679.49;65.0962
08.10.2015;1689.32;62.7061
09.10.2015;1728.44;62.2942
10.10.2015;;61.2967
11.10.2015;;
12.10.2015;1710.6;61.2967
13.10.2015;1720.81;61.1535
14.10.2015;1723.01;62.2237
15.10.2015;1731.91;63.1248
16.10.2015;1717;62.2433
17.10.2015;;61.3587
18.10.2015;;
19.10.2015;1716.08;61.3587
20.10.2015;1722.62;61.4419
21.10.2015;1709.94;62.162
22.10.2015;1712.1;62.6309
23.10.2015;1725.45;62.7888
24.10.2015;;61.9286
25.10.2015;;
26.10.2015;1712.13;61.9286
27.10.2015;1725.89;62.5038
28.10.2015;1726.61;63.5004
29.10.2015;1708.6;65.3159
30.10.2015;1711.53;64.1686
31.10.2015;;64.3742
01.11.2015;;
02.11.2015;1735.75;64.3742
03.11.2015;1763.6;63.7993
04.11.2015;;63.8525
05.11.2015;1766.28;
06.11.2015;1754.36;63.3991
07.11.2015;;63.6832
08.11.2015;;
09.11.2015;1751.44;63.6832
10.11.2015;1746.94;64.6606
11.11.2015;1740.56;64.3908
12.11.2015;1739.96;64.5693
13.11.2015;1728.17;65.4541
14.11.2015;;66.6343
15.11.2015;;
16.11.2015;1739.8;66.6343
17.11.2015;1787.23;66.4607
18.11.2015;1810.48;65.4799
19.11.2015;1811.2;64.7785
20.11.2015;1826.72;64.912
21.11.2015;;64.8673
22.11.2015;;
23.11.2015;1868.07;64.8673
24.11.2015;1810.05;65.5973
25.11.2015;1833.53;65.621
26.11.2015;1828.3;65.4789
27.11.2015;1795.7;65.6836
28.11.2015;;66.2393
29.11.2015;;
30.11.2015;1771.05;66.2393
01.12.2015;1772.97;66.737
02.12.2015;1770.13;66.2584
03.12.2015;1787.23;66.7402
04.12.2015;1755.22;67.7691
05.12.2015;;67.6698
06.12.2015;;
07.12.2015;1741.14;67.6698
08.12.2015;1718.77;68.5156
09.12.2015;1733.09;69.3026
10.12.2015;1732.89;69.2
11.12.2015;1720.31;69.2151
12.12.2015;;69.1755
13.12.2015;;
14.12.2015;1708.7;69.1755
15.12.2015;1742.46;70.2244
16.12.2015;1754.71;70.8295
17.12.2015;1780.97;70.4012
18.12.2015;1719.16;70.5806
19.12.2015;;71.3215
20.12.2015;;
21.12.2015;1716.91;71.3215
22.12.2015;1723.35;71.2553
23.12.2015;1747.85;71.1211
24.12.2015;1742.71;70.9333
25.12.2015;1734.21;69.5165
26.12.2015;;70.269
27.12.2015;;
28.12.2015;1731.2;70.269
29.12.2015;1763.38;70.7865
30.12.2015;1761.36;72.5066
31.12.2015;1761.36;72.8827
01.01.2016;;72.9299
02.01.2016;;
03.01.2016;;
04.01.2016;1734.56;
05.01.2016;1754.13;
06.01.2016;1748.57;
07.01.2016;;
08.01.2016;;
09.01.2016;;
10.01.2016;;
11.01.2016;1682.54;
12.01.2016;1690.3;75.9507
13.01.2016;1684.78;76.6041
14.01.2016;1680.77;76.4275
15.01.2016;1608.36;76.523
16.01.2016;;76.565
17.01.2016;;
